username,comment,comment_and_emojis,date_comment,likes_comment,lang,emotion_comment,score_emotion
@elpelucheenelestuche,"Aquí les dejo el video de como fue que mi súbdito el Alex Montiel, consiguió que se hiciera esto: https://www.youtube.com/watch?v=i_naASbXgPo&t=1s","['Aquí les dejo el video de como fue que mi súbdito el Alex Montiel, consiguió que se hiciera esto: https://www.youtube.com/watch?v=i_naASbXgPo&t=1s', []]",7 months ago,1K,es,NEU,-0.013512343168258667
@erickdamiangutierrez8882,Estaría chingon que hicieras lo posible para echar la plática pero con el presidente de México,"['Estaría chingon que hicieras lo posible para echar la plática pero con el presidente de México', []]",6 months ago,173,es,POS,0.040114641189575195
@user-yv7pu1dy1b,Estaría bueno que saliera aqui el cabesita de algodón y ver con que cosa o que chistesillo sale una despedida digna ,"['Estaría bueno que saliera aqui el cabesita de algodón y ver con que cosa o que chistesillo sale una despedida digna ', ['😂', '😢', '😢', '😢', '😢', '😢', '😢', '❤']]",3 months ago,83,es,NEU,0.3433491513133049
@rolipoprangel9133,Aprendimos de politica y de piropos  vamos noroña ,"['Aprendimos de politica y de piropos  vamos noroña ', ['❤', '🙌🏻']]",1 month ago,11,es,POS,0.5953746568411589
@Gustavo-rb6df,"Invita a Noroña, con ese wey se pondría bueno el chismecito","['Invita a Noroña, con ese wey se pondría bueno el chismecito', []]",4 months ago,318,es,POS,0.7786279730498791
@holabetocdc,"Qué no se pierda la tradición, de decir que Luisito fue la invitada más apretada","['Qué no se pierda la tradición, de decir que Luisito fue la invitada más apretada', []]",6 months ago,896,es,POS,0.8633186714723706
@taniahernandez7157,Gran maestra Claudia que chido que haya estado con el escorpion,"['Gran maestra Claudia que chido que haya estado con el escorpion', []]",4 days ago,,es,POS,0.975649650907144
@Pepepastrana,"Se ve que se complicó la entrevista debido a las respuestas, pero ojalá para la siguiente puedas meter más peluche en el estuche “wasa” y ver otra cara de los candidatos","['Se ve que se complicó la entrevista debido a las respuestas, pero ojalá para la siguiente puedas meter más peluche en el estuche “wasa” y ver otra cara de los candidatos', []]",6 months ago,18,es,NEU,-0.25891488417983055
@Michael-jn4ki,Ese escorpion.muy a tu estilo una entrevista divertida e instructiva.psra conocer más a Claudia,"['Ese escorpion.muy a tu estilo una entrevista divertida e instructiva.psra conocer más a Claudia', []]",2 weeks ago,,es,POS,0.9437814212869853
@pedroomarramirezgarcia4503,"Nos subimos al negocio!!! Tristísimo, pero esto es un espejo de la realidad que vivimos","['Nos subimos al negocio!!! Tristísimo, pero esto es un espejo de la realidad que vivimos', []]",1 month ago,1,es,NEG,-0.9735410078428686
@omar17421,"Entrevista suavecita, a modo, arreglada, le sacas hacer preguntas de verdad  escorpión, entiendo el formato de comedia, pero no vi ningun cuestionamiento fuerte","['Entrevista suavecita, a modo, arreglada, le sacas hacer preguntas de verdad  escorpión, entiendo el formato de comedia, pero no vi ningun cuestionamiento fuerte', []]",4 months ago,24,es,NEU,0.4434174355119467
@andreamolinaponce6859,Excelente la pre candidata y que continúe con el proyecto de nacion.,"['Excelente la pre candidata y que continúe con el proyecto de nacion.', ['😊']]",1 month ago,,es,POS,0.9500975608825684
@GamerSadracx,"Que no se pierda la bonita tradición, de decir que luisito comunica fue la invitada  más apretada ","['Que no se pierda la bonita tradición, de decir que luisito comunica fue la invitada  más apretada ', ['💅']]",7 months ago,738,es,POS,0.8450969140976667
@juancarlosduarte6511,Muy buena entrevista.,"['Muy buena entrevista.', []]",4 weeks ago,,es,POS,0.9570475448854268
@e_626,"Se me hizo bien tierna quién sabe porqué jaja, quién sabe que nos depare las próximas elecciones","['Se me hizo bien tierna quién sabe porqué jaja, quién sabe que nos depare las próximas elecciones', []]",6 months ago,62,es,POS,0.38741176575422287
