username,comment,comment_and_emojis,date_comment,likes_comment,lang,emotion_comment,score_emotion
@carlosmedina5909,"El único que tuvo los tamaños de decirle en su cara sus verdades a Genaro García Luna, en tiempos de Calderón.","['El único que tuvo los tamaños de decirle en su cara sus verdades a Genaro García Luna, en tiempos de Calderón.', []]",2 months ago,264,es,NEG,-0.42261071503162384
@rubenlara4437,Viva Noroña. Si mi voto para el futuro presidente y que su honrradez y sus huevos de defender al país siempre siga con ese carácter es mi gallo viva AMLO y viva noroña,"['Viva Noroña. Si mi voto para el futuro presidente y que su honrradez y sus huevos de defender al país siempre siga con ese carácter es mi gallo viva AMLO y viva noroña', []]",2 months ago (edited),97,es,POS,0.9338327813893557
@user-yd9dd9ir4s,Gracias escorpión por disfrutar un momento con nuestro presidente Sr noroña,"['Gracias escorpión por disfrutar un momento con nuestro presidente Sr noroña', []]",2 months ago,117,es,POS,0.9381028925999999
@space5376,"Terminé de ver el video con la señora Téllez, y luego me ví este con Noroña. Sin duda puedo decir que la alianza PRI-PAN-PRD está más que sepultada.","['Terminé de ver el video con la señora Téllez, y luego me ví este con Noroña. Sin duda puedo decir que la alianza PRI-PAN-PRD está más que sepultada.', []]",2 months ago,367,es,NEG,-0.6683593317866325
@eduardocelestej.e.c.a2793,"noroña es como el tio buen pedo que siempre te anda aconsejando,que sus historias te entretienen y la pasas chido.","['noroña es como el tio buen pedo que siempre te anda aconsejando,que sus historias te entretienen y la pasas chido.', []]",2 months ago,130,es,POS,0.9244671184569597
@lajefa1034,"ME DEJARON CON GANAS DE MAS NUNCA HABÍA VISTO UNA ENTREVISTA COMPLETA DEL ESCORPIÓN Y AHORA CON NOROÑA, QUE FESTIN","['ME DEJARON CON GANAS DE MAS NUNCA HABÍA VISTO UNA ENTREVISTA COMPLETA DEL ESCORPIÓN Y AHORA CON NOROÑA, QUE FESTIN', []]",2 months ago,90,es,NEG,-0.8685512375086546
@DARKKESTT,Exigimos segunda parte con Noroña. Like para que lo haga el escorpión ,"['Exigimos segunda parte con Noroña. Like para que lo haga el escorpión ', ['👍']]",2 months ago,1.1K,es,NEU,-0.0486285537481308
@zullyct181,"Voto para este gran señor... culto, luchador  por las causas sociales... Necesitamos castigo para los expresidentes saqueadores de México","['Voto para este gran señor... culto, luchador  por las causas sociales... Necesitamos castigo para los expresidentes saqueadores de México', []]",2 months ago,118,es,NEG,-0.1033969521522522
@jorgeeduardo8250,"Este si tiene 
Que siga la 4T con Noroña para presi!! 🇲🇽🇲🇽","['Este si tiene \nQue siga la 4T con Noroña para presi!! 🇲🇽🇲🇽', ['🥚', '🥚', '🤘🏻', '🤘🏻']]",2 months ago (edited),119,es,NEU,-0.2572379484772682
@carmenbeltran978,Estamos con este Señorón y me encanta como persona lo apoyamos desde California e iremos a Mexicali a votar.,"['Estamos con este Señorón y me encanta como persona lo apoyamos desde California e iremos a Mexicali a votar.', []]",2 months ago,82,es,POS,0.9571807438042015
@rosyalcaraz9573,"Un verdadero líder, siempre luchando por los derechos del pueblo; sería idóneo para dar continuidad a la 4a.T","['Un verdadero líder, siempre luchando por los derechos del pueblo; sería idóneo para dar continuidad a la 4a.T', ['🎉', '❤']]",2 months ago,19,es,POS,0.5414791852235794
@marcosmaldonado470,Todos con Noroña!,"['Todos con Noroña!', ['👌']]",2 months ago,29,es,NEU,0.2183881402015686
@carloscruz2216,Cón todo Noroña estamos con usted ánimo,"['Cón todo Noroña estamos con usted ánimo', []]",3 months ago,131,es,POS,0.3967473804950714
@davidsanchez6797,CUENTE CON MI VOTO SEÑOR NOROÑA ,"['CUENTE CON MI VOTO SEÑOR NOROÑA ', ['👍', '👍']]",2 months ago,100,es,NEU,0.16930055618286133
@norbacto,Ya me gusto de nuevo Noroña con un nuevo poder judicial ️ ,"['Ya me gusto de nuevo Noroña con un nuevo poder judicial ️ ', ['👨\u200d⚖', '🎉', '🎉', '🎉', '❤']]",2 months ago,32,es,POS,0.6166282072663307
@gerardotorres2790,Por primera vez un programa de 40 minutos se me hizo de 5 minutos debe de haber una segunda parte,"['Por primera vez un programa de 40 minutos se me hizo de 5 minutos debe de haber una segunda parte', []]",2 months ago,92,es,NEU,-0.11394250392913818
@donnathomonza4730,"El más coherente, sus cabellos pintan de gris que le da sabiduría y la voz de trueno que lo hace  tener carácter para ser el próximo presidente Noroña","['El más coherente, sus cabellos pintan de gris que le da sabiduría y la voz de trueno que lo hace  tener carácter para ser el próximo presidente Noroña', []]",2 months ago,49,es,POS,0.9165332289412618
@allonsito,"La bronca de Noroña es que no tiene equipo... Pocos se le pegan, es un lobo solitario. No me cabe duda que es un tipazo, tiene capacidad y es una opción interesante.","['La bronca de Noroña es que no tiene equipo... Pocos se le pegan, es un lobo solitario. No me cabe duda que es un tipazo, tiene capacidad y es una opción interesante.', []]",2 months ago,128,es,NEG,-0.8374246433377266
@alexcelnet,"De los pocos Políticos que le da una chinga en tribuna a la oposición. 
Muy inteligente, te contesto todas y hasta te ensartó con los albures. 
Buen Candidato!! ","['De los pocos Políticos que le da una chinga en tribuna a la oposición. \nMuy inteligente, te contesto todas y hasta te ensartó con los albures. \nBuen Candidato!! ', ['👍']]",2 months ago,139,es,POS,0.9496138887479901
