username,comment,comment_and_emojis,date_comment,likes_comment,lang,emotion_comment,score_emotion
@vichu698,Gracias Escorpión ! YA SABEMOS QUE NI UN VOTO AL PRIAN! Que  esa Téllez !,"['Gracias Escorpión ! YA SABEMOS QUE NI UN VOTO AL PRIAN! Que  esa Téllez !', ['🤮']]",3 months ago,327,es,POS,0.36070071160793304
@hipolitosandoval5984,Comencé riendo de tantos buenos comentarios pero llego el momento en el q ya sentí tanta pena ajena pero me la aguanto  ya no existe la más mínima posibilidad dq estos personajes tomen las riendas de tan hermoso país y tan hermoso pueblo Mexicano !!! AMLO  mi cabecita de algodón no ay palabras para agradecerte de aquí en adelante la historia de Mexico te recordará y con mucho amor ,"['Comencé riendo de tantos buenos comentarios pero llego el momento en el q ya sentí tanta pena ajena pero me la aguanto  ya no existe la más mínima posibilidad dq estos personajes tomen las riendas de tan hermoso país y tan hermoso pueblo Mexicano !!! AMLO  mi cabecita de algodón no ay palabras para agradecerte de aquí en adelante la historia de Mexico te recordará y con mucho amor ', ['😂', '😂', '🙌🏼', '🙌🏼', '🙌🏼', '🙌🏼', '🙌🏼', '❤', '❤', '🙏🏼', '🙏🏼']]",2 months ago,4,es,NEG,-0.6822957396507263
@flendegmause,"Gracias Escorpio por esta entrevista ,para reconfirmar por quien no votar","['Gracias Escorpio por esta entrevista ,para reconfirmar por quien no votar', []]",2 months ago,4,es,POS,0.8242960618808866
@carloslandin1086,"Ni como defenderla, es una verguenza ver como  este tipo de personas toman decisiones para el rumbo del pais","['Ni como defenderla, es una verguenza ver como  este tipo de personas toman decisiones para el rumbo del pais', ['😢', '😢']]",2 months ago,91,es,NEG,-0.9766088579781353
@jonass2902,Bien mi escorpión con esto los jóvenes de mexico sabemos por quien no votar .,"['Bien mi escorpión con esto los jóvenes de mexico sabemos por quien no votar .', []]",4 months ago,2.5K,es,POS,0.5442419573664665
@user-mi8vk7mo4d,Jajajajaja amo que todo mundo dice que no votaría por ella ,"['Jajajajaja amo que todo mundo dice que no votaría por ella ', ['😂']]",2 months ago,8,es,NEU,-0.03580854833126068
@yaraldinybarreracruz,"Vieja loca, bien por ti Escorpion, expusiste a una loca.","['Vieja loca, bien por ti Escorpion, expusiste a una loca.', ['🎉', '🎉', '🎉', '🎉']]",3 months ago,91,es,NEG,-0.6479413360357285
@gabofelipe2221,Estamos en una época en la que hemos abierto los ojos y jamás votaríamos por alguien así,"['Estamos en una época en la que hemos abierto los ojos y jamás votaríamos por alguien así', []]",3 months ago,326,es,NEU,-0.013801664113998413
@navihddom,"GENIAL! dos comediantes, Lily Tellez y Escorpión Dorado ","['GENIAL! dos comediantes, Lily Tellez y Escorpión Dorado ', ['😂']]",4 months ago,121,es,POS,0.9359672628343105
@maximusarcturus,"Increíble la burbuja en la que vive, ni cómo ayudarle... Muy bien la entrevista, completamente a su nivel.","['Increíble la burbuja en la que vive, ni cómo ayudarle... Muy bien la entrevista, completamente a su nivel.', []]",2 months ago,7,es,POS,0.24986985325813293
@arturoortiz5646,"Desde hoy , se llamará enterrando presidenciables al volante con el escorpión , queremos ver más .","['Desde hoy , se llamará enterrando presidenciables al volante con el escorpión , queremos ver más .', []]",4 months ago,1.4K,es,NEU,0.07601198926568031
