username,comment,comment_and_emojis,date_comment,likes_comment,lang,emotion_comment,score_emotion
@CarlosToxtli,"Se necesitan entrevistas de este nivel para todos los aspirantes a la presidencia, felicidades Diego por tu gran labor.","['Se necesitan entrevistas de este nivel para todos los aspirantes a la presidencia, felicidades Diego por tu gran labor.', []]",2 months ago,2.8K,es,POS,0.9444296164438128
@Gustavo-rb6df,Necesitamos que Diego dirija el debate presidencial del 2024.,"['Necesitamos que Diego dirija el debate presidencial del 2024.', []]",2 months ago,241,es,NEU,0.04525254666805267
@nitrooso,Hace mucho que en Mexico no veíamos una conversación tan exquisita de un político.,"['Hace mucho que en Mexico no veíamos una conversación tan exquisita de un político.', []]",2 months ago,618,es,POS,0.6694701239466667
@cesar8855,"Es la primera vez en mi vida que veo una entrevista con temas actuales interesantes, con alto grado de conocimiento y sobre todo sin tanto fanfarroneo, al punto. Mas contenido como estos por favor!","['Es la primera vez en mi vida que veo una entrevista con temas actuales interesantes, con alto grado de conocimiento y sobre todo sin tanto fanfarroneo, al punto. Mas contenido como estos por favor!', []]",2 months ago,251,es,POS,0.9323857720009983
@pablog9041,"Gran ejercicio. Estaría bueno que hubiera la posibilidad de que lo hicieran con Claudia, Adán Augusto y por supuesto Noroña. Felicidades, gran trabajo!","['Gran ejercicio. Estaría bueno que hubiera la posibilidad de que lo hicieran con Claudia, Adán Augusto y por supuesto Noroña. Felicidades, gran trabajo!', []]",2 months ago,190,es,POS,0.9687114655971527
@JulioSanchez-uy6tl,Diego pocas veces te he visto tan cómodo y que te siguen en la conversación qué nivel de cultura ,"['Diego pocas veces te he visto tan cómodo y que te siguen en la conversación qué nivel de cultura ', ['😊']]",2 months ago,78,es,POS,0.8791717607527971
@josealejandrovazquezahuatz299,Hasta que alguien va poner hablar a los políticos de forma intelectual y no de forma propagandística. 🇧🇷🇲🇽,"['Hasta que alguien va poner hablar a los políticos de forma intelectual y no de forma propagandística. 🇧🇷🇲🇽', []]",2 months ago,3.4K,es,NEU,-0.16516446322202682
@libido300,"Ecxelente entrevista, gran nivel de Marcelo...gracias Diego por elevar el discurso.","['Ecxelente entrevista, gran nivel de Marcelo...gracias Diego por elevar el discurso.', []]",2 months ago,70,es,POS,0.9677908518351614
@lesliegovea6516,Este es el tipo de entrevistas que se necesitan,"['Este es el tipo de entrevistas que se necesitan', []]",2 months ago,49,es,POS,0.6311423256993294
@gioortizdj8476,"Que conversación tan rica y tan agradable,creo es la primera vez que alguien se empata tan bien con Diego y definitivamente mi concepto x M. Ebrad a cambiado tanto que creo al menos que veamos algo diferente con los demás el lleva ya la ventaja para la silla","['Que conversación tan rica y tan agradable,creo es la primera vez que alguien se empata tan bien con Diego y definitivamente mi concepto x M. Ebrad a cambiado tanto que creo al menos que veamos algo diferente con los demás el lleva ya la ventaja para la silla', []]",2 months ago,25,es,POS,0.9610794398467988
@edgarmontalvo4555,"Me pareció muy buena la entrevista, sin duda Marcelo dejó claro su dominio intelectual y nos dejó a mas de uno impresionados ya que quizá no conocíamos esa faceta de Marcelo. No dudo de la intelgencia de Marcelo ni mucho menos de la de Diego, pero me hace pensar que, en época en donde se supone no debe hacer campaña política curiosamente salga este video previo a que Marcelo se postule como candidato por Morena. Una jugada maestra a decir verdad, dejándolos más genios de lo que proyectan en el video. Sobre todo porque ténicamente un video en donde te preguntan cosas en referencia a tus creencias, tu sistema de valores y el como percibes al estado, no es campaña política, simplemente una ""charla o entrevista"". Sea como sea, y de la manera en que decidas interperetar el contenido de este video, fue enriquecedor por donde quiera que se le vea.","['Me pareció muy buena la entrevista, sin duda Marcelo dejó claro su dominio intelectual y nos dejó a mas de uno impresionados ya que quizá no conocíamos esa faceta de Marcelo. No dudo de la intelgencia de Marcelo ni mucho menos de la de Diego, pero me hace pensar que, en época en donde se supone no debe hacer campaña política curiosamente salga este video previo a que Marcelo se postule como candidato por Morena. Una jugada maestra a decir verdad, dejándolos más genios de lo que proyectan en el video. Sobre todo porque ténicamente un video en donde te preguntan cosas en referencia a tus creencias, tu sistema de valores y el como percibes al estado, no es campaña política, simplemente una ""charla o entrevista"". Sea como sea, y de la manera en que decidas interperetar el contenido de este video, fue enriquecedor por donde quiera que se le vea.', []]",2 months ago,48,es,POS,0.8236458282917738
@josenieto8688,"Mexico  es un foco de grandes inversiones extranjeras, por la llena de depredadores políticos que venden nuestros país sin pena alguna.... 
Un abrazo Diego por la capacidad de idealizar las preguntas.","['Mexico  es un foco de grandes inversiones extranjeras, por la llena de depredadores políticos que venden nuestros país sin pena alguna.... \nUn abrazo Diego por la capacidad de idealizar las preguntas.', []]",3 weeks ago,16,es,NEG,-0.8197628706693649
@fernandabecerril5719,"No inventes, Ruzzarin, por favor, trae a todos los candidatos, está súper interesante y también nos tiras un parote a las personas que no estamos tan familiarizadas con la política. Gran contenido ","['No inventes, Ruzzarin, por favor, trae a todos los candidatos, está súper interesante y también nos tiras un parote a las personas que no estamos tan familiarizadas con la política. Gran contenido ', ['✨']]",2 months ago,995,es,POS,0.9254409708082676
@ricardomendez6507,"Un gran contenido, a pesar de estar en otro país y disfrutar de este intercambio de ideas es muy grato. Lo que siempre te comente Diego, mejorar los interlocutores, es satisfactorio tener estos espacios. Excelente labor .","['Un gran contenido, a pesar de estar en otro país y disfrutar de este intercambio de ideas es muy grato. Lo que siempre te comente Diego, mejorar los interlocutores, es satisfactorio tener estos espacios. Excelente labor .', []]",2 months ago,6,es,POS,0.9789077676832676
@pndvomg5889,"Exquisita conversacion, demuestra la  educación y su intelecto, muchos no estamos familiarizados con la politica, desgraciadamente es algo mas superficial lo que se ve a diario pero el hecho de que lo lleves a esta conversación me hace ver mas lo que tan humanos son.","['Exquisita conversacion, demuestra la  educación y su intelecto, muchos no estamos familiarizados con la politica, desgraciadamente es algo mas superficial lo que se ve a diario pero el hecho de que lo lleves a esta conversación me hace ver mas lo que tan humanos son.', []]",2 months ago,25,es,POS,0.8105854354798794
@germantheking805,"Yo voy con marcelo
Un nivel académico e intelectual de excelencia, su forma de interpretar problemas y expresar sus resoluciones es un nivel político y empresarial qué necesitamos
Esa visión es lo que México necesita","['Yo voy con marcelo\nUn nivel académico e intelectual de excelencia, su forma de interpretar problemas y expresar sus resoluciones es un nivel político y empresarial qué necesitamos\nEsa visión es lo que México necesita', []]",2 months ago,49,es,POS,0.8291299305856228
,"Excelente manejo y nivel de la conversación, sería genial que invitaras a más candidatos para ver como se desenvuelven con esta calidad de preguntas.","['Excelente manejo y nivel de la conversación, sería genial que invitaras a más candidatos para ver como se desenvuelven con esta calidad de preguntas.', []]",2 months ago,17,es,POS,0.9533707229420543
@edgarcrespo4811,"Me encantan estas entrevistas .,, se nota el Gusto k tiene Diego por encontrar a alguien deacuerdo a su preparacion como lo es Marcelo Ebrad","['Me encantan estas entrevistas .,, se nota el Gusto k tiene Diego por encontrar a alguien deacuerdo a su preparacion como lo es Marcelo Ebrad', []]",6 days ago,2,es,POS,0.9596751928329468
